title,fee,country,state,mode,link,language,category,start_date,end_date,start_time,end_time
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.1,English,Research and Analysis,14-04-2024,16-04-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 4,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Curriculum Development,23-04-2024,25-04-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.2,English,Course Accreditation,02-05-2024,04-05-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 5,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Learning Management System,11-05-2024,13-05-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.3,English,Policy Development,20-05-2024,22-05-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 6,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Financial Management,29-05-2024,31-05-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.4,English,Project Management,07-06-2024,09-06-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 7,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Writing and Editing,16-06-2024,18-06-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.5,English,Grants and Scholarships,25-06-2024,27-06-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 8,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Research and Analysis,04-07-2024,06-07-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.6,English,Curriculum Development,13-07-2024,15-07-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 9,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Course Accreditation,22-07-2024,24-07-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.7,English,Learning Management System,31-07-2024,02-08-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 10,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Policy Development,09-08-2024,11-08-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.8,English,Financial Management,18-08-2024,20-08-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 11,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Project Management,27-08-2024,29-08-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.9,English,Writing and Editing,05-09-2024,07-09-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 12,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Grants and Scholarships,14-09-2024,16-09-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.10,English,Research and Analysis,23-09-2024,25-09-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 13,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Curriculum Development,02-10-2024,04-10-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.11,English,Course Accreditation,11-10-2024,13-10-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 14,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Learning Management System,20-10-2024,22-10-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.12,English,Policy Development,29-10-2024,31-10-2024,10:00,16:00
Foundations of PLS-SEM Using SmartPLS 15,650,Australia,New South Wales,Face To Face,"https://www.google.com/maps/place/32+Erie+St,+South+Granville+NSW+2142,+Australia/@-33.860696,151.012371,11z/data=!4m6!3m5!1s0x6b12bce7d422d885:0xbb75be7562f97500!8m2!3d-33.8615245!4d151.0119557!16s%2Fg%2F11c1dmwnfv?hl=en-US&entry=ttu",English,Financial Management,07-11-2024,09-11-2024,10:00,16:00
Igniting the Spark: Designing PhD Curriculums for the Next Generation of Disruptors,995,Australia,New South Wales,Zoom Link,https://us04web.zoom.us/j/76488840068?pwd=hp35jx17V5m3pEkpTvnWnemAcoqSi1.13,English,Project Management,16-11-2024,18-11-2024,10:00,16:00
