country,university,url,logo
Australia,Western Sydney University,https://www.westernsydney.edu.au/,western_sydney_university.png
Australia,The University of Melbourne,https://www.unimelb.edu.au/,university_of_melbourne.png
Australia,Victoria University,https://www.vu.edu.au/,victoria_university.png
Australia,University of Tasmania, https://www.utas.edu.au/,university_of_tasmania.png
Australia,Murdoch University,https://www.murdoch.edu.au/,murdoch_university.png
Australia,Australian Catholic University,https://www.acu.edu.au/,australian catholic university.png
Australia,Australian National University,https://www.anu.edu.au/,australian_national_university.png
Australia,Avondale University, https://www.avondale.edu.au/,avondale_university.png
Australia,Bond University,https://bond.edu.au/,bond_university.png
Australia,Carnegie Mellon University,https://www.australia.cmu.edu/,carnegie_mellon_university.jpg
Australia,Central Queensland University,https://www.cqu.edu.au/,central_queensland_university.png
Australia,Charles Darwin University,https://www.cdu.edu.au/,charles_darwin_university.png
Australia,Charles Sturt University, https://www.csu.edu.au/,charles_sturt_university.png
Australia,Curtin University,https://www.curtin.edu.au/,curtin_university.png
Australia,Deakin University,https://www.deakin.edu.au/,deakin_university.png
Australia,Edith Cowan University,https://www.ecu.edu.au/,edith_cowan_university.png
Australia,Federation University Australia,https://federation.edu.au/,federation_university_australia.png
Australia,Flinders University,https://www.flinders.edu.au/,flinders_university.png
Australia,Griffith University,https://www.griffith.edu.au/,griffith_university.png
Australia,James Cook University,https://www.jcu.edu.au/,james_cook_university.png
Australia,La Trobe University,https://www.latrobe.edu.au/,la_trobe_university.png
Australia,Macquarie University, https://www.mq.edu.au/,macquarie_university.png
Australia,Monash University,https://www.monash.edu/,monash_university.png
Australia,Queensland University of Technology,https://www.qut.edu.au/,queensland_university_of_technology.png
Australia,RMIT University,https://www.rmit.edu.au/,rmit_university.png
Australia,Southern Cross University,https://www.scu.edu.au/,southern_cross_university.png
Australia,Swinburne University of Technology, https://www.swinburne.edu.au/,swinburne_university_of_technology.png
Australia,The University of Adelaide,https://www.adelaide.edu.au/,the _university_of_adelaide.png
Australia,The University of Newcastle,https://www.newcastle.edu.au/,the_university_of_newcastle.jpg
Australia,The University of Queensland,https://www.uq.edu.au/,the_university_of_queensland.png
Australia,The University of Sydney,https://www.sydney.edu.au/,the_university_of_sydney.png
Australia,The University of Western Australia,https://www.uwa.edu.au/,the_university_of_western_australia.png
Australia,Torrens University Australia,https://www.torrens.edu.au/,torrens_university_australia.png
Australia,University of Canberra,https://www.canberra.edu.au/,university_of_canberra.png
Australia,University of Divinity,https://www.divinity.edu.au/,university_of_divinity.png
Australia,University of New England,https://www.une.edu.au/,university_of_new_england.png
Australia,University of New South Wales,https://www.unsw.edu.au/,university_of_new_south_wales.png
Australia,University of Notre Dame Australia,https://www.notredame.edu.au/,university_of_notre_dame_australia.png
Australia,University of South Australia,https://www.unisa.edu.au/,university_of_south_australia.png
Australia,University of Southern Queensland,https://www.usq.edu.au/,university_of_southern_queensland.png
Australia,University of Technology Sydney,https://www.uts.edu.au/,university_of_technology_sydney.png
Australia,University of the Sunshine Coast,https://www.usc.edu.au/,university_of_the_sunshine_coast.png
Australia,University of Wollongong,https://www.uow.edu.au/,university_of_wollongong.png
Canada,Alberta University of the Arts,https://www.auarts.ca/,alberta_university_of_the_arts.png
Canada,Acadia University,https://www2.acadiau.ca/,Acadia_University.png
Canada,Algoma University,https://www.algomau.ca/,Algoma_University.png
Canada,Athabasca University,https://www.athabascau.ca/,athabasca_university.png
Canada,Bishop's University,https://www.ubishops.ca/,Bishop's_University.png
Canada,Brandon University,https://www.brandonu.ca/,Brandon_University.png
Canada,Brock University,https://brocku.ca/,Brock_University.png
Canada,Cape Breton University, https://www.cbu.ca/,cape_breton_university.png
Canada,Capilano University,https://www.capilanou.ca/,Capilano_University.png
Canada,Carleton University,https://carleton.ca/,Carleton_University.png
Canada,Concordia University, https://www.concordia.ca/,Concordia_University.png
Canada,Dalhousie University,https://www.dal.ca/,Dalhousie_University.png
Canada,Emily Carr University of Art and Design,https://www.ecuad.ca/,Emily_Carr_University_of_Art_and_Design.png
Canada,Kwantlen Polytechnic University,https://www.kpu.ca/,Kwantlen_Polytechnic_University.png
Canada,Lakehead University,https://www.lakeheadu.ca/,Lakehead_University.png
Canada,MacEwan University,https://www.macewan.ca/,MacEwan_University.png
Canada,Mount Royal University,https://www.mtroyal.ca/,Mount_Royal_University.png
Canada,University of Alberta,https://www.ualberta.ca/,University_of_Alberta.png
Canada,University of Calgary,https://www.ucalgary.ca/,University_of_Calgary.png
Canada,University of Lethbridge,https://www.uleth.ca/,University_of_Lethbridge.png
Canada,Royal Roads University,https://www.royalroads.ca/,Royal_Roads_University.png
Canada,Simon Fraser University,https://www.sfu.ca/,Simon_Fraser_University.png
Canada,Thompson Rivers University,https://www.tru.ca/,Thompson_Rivers_University.png
Canada,University of British Columbia,https://www.ubc.ca/,University_of_British_Columbia.png
Canada,University of Victoria,https://www.uvic.ca/,University_of_Victoria.png
Canada,University of the Fraser Valley,https://www.ufv.ca/,University_of_the_Fraser_Valley.png
Canada,University of Northern British Columbia,https://www.unbc.ca/,University_of_Northern_British_Columbia.png
